"CountryYear","Country","FullYear","StartYear","Name","API_ID","Alpha2","Alpha3","ISONum","WorldBankID","EverMarried","Survey","BR","Couples","PR","Strata","mean","se","l_ci","u_ci"
"Bangladesh 2014","Bangladesh","2014",2014,"Bangladesh","BD2014DHS","BD","BGD",50,"BD",1,"BDIR72FL","BDBR72FL","","BDPR72FL","v022",0.231,0.00544635028786835,0.220413811991283,0.241807756833124
"Bangladesh 2011","Bangladesh","2011",2011,"Bangladesh","BD2011DHS","BD","BGD",50,"BD",1,"BDIR61FL","","BDCR61FL","BDPR61FL","v022",0.225,0.00410723545650384,0.21694898332749,0.233082717693534
"Bangladesh 2007 ","Bangladesh","2007",2007,"Bangladesh","BD2007DHS","BD","BGD",50,"BD",1,"BDIR51FL","","BDCR51FL","BDPR51FL","v023",0.207,0.00545589971687671,0.195992699970509,0.217456061720109
"Bangladesh 2004","Bangladesh","2004",2004,"Bangladesh","BD2004DHS","BD","BGD",50,"BD",1,"BDIR4JFL","","BDCR4JFL","BDPR4JFL","v024 v025",0.203,0.0049837990925323,0.193164183065452,0.212767148346737
"Bangladesh 1999-00","Bangladesh","1999-00",1999,"Bangladesh","BD2000DHS","BD","BGD",50,"BD",1,"BDIR41FL","","BDCR41FL","BDPR41FL","v023",0.194,0.0048553542343415,0.184176146970639,0.203279059306112
"Bangladesh 1996-97","Bangladesh","1996-97",1996,"Bangladesh","BD1997DHS","BD","BGD",50,"BD",1,"BDIR3AFL","","BDCR3AFL","BDPR3AFL","v023 v025",0.204,0.00520662641385777,0.193913272138357,0.214406382148879
"Bangladesh 1993-94","Bangladesh","1993-94",1993,"Bangladesh","BD1994DHS","BD","BGD",50,"BD",1,"BDIR31FL","","BDCR31FL","BDPR31FL","v023 v025",0.212,0.00549997839114976,0.201008218408867,0.222659038586058
"Benin 2017-18","Benin","2017-18",2017,"Benin","BJ2017DHS","BJ","BEN",204,"BJ",NA,"BJIR71FL","BJBR71FL","BJCR71FL","BJPR71FL","v022",0.116,0.00524975123462729,0.10573881059511,0.126364381100846
"Benin 2011-12","Benin","2011-12",2011,"Benin","BJ2012DHS","BJ","BEN",204,"BJ",NA,"BJIR61FL","BJBR61FL","BJCR61FL","BJPR61FL","v024 v025",0.059,0.00323572206628004,0.052583610377946,0.0652882435798743
"Benin 2006","Benin","2006",2006,"Benin","BJ2006DHS","BJ","BEN",204,"BJ",NA,"BJIR51FL","","BJCR51FL","BJPR51FL","v022",0.07,0.00353001590942808,0.0629709205776474,0.0768314039877817
"Benin 2001","Benin","2001",2001,"Benin","BJ2001DHS","BJ","BEN",204,"BJ",NA,"BJIR41FL","","BJCR41FL","BJPR41FL","v023",0.084,0.00587595022497105,0.0728739784902692,0.0960270279694734
"Benin 1996","Benin","1996",1996,"Benin","BJ1996DHS","BJ","BEN",204,"BJ",NA,"BJIR31FL","","BJCR31FL","BJPR31FL","v024 v025",0.132,0.00860707766741081,0.11520568329591,0.149156602963605
"Bolivia 2008","Bolivia","2008",2008,"Bolivia","BO2008DHS","BO","BOL",68,"BO",NA,"BOIR51FL","BOBR51FL","BOCR51FL","BOPR51FL","v022",0.044,0.00264749382149762,0.0390006132962934,0.0493914183501472
"Bolivia 1998","Bolivia","1998",1998,"Bolivia","BO1998DHS","BO","BOL",68,"BO",NA,"BOIR3BFL","","BOCR3BFL","BOPR3BFL","v022",0.044,0.00273357667587874,0.0381377660022618,0.0488840100858164
"Bolivia 1994","Bolivia","1994",1994,"Bolivia","BO1994DHS","BO","BOL",68,"BO",NA,"BOIR31FL","","","BOPR31FL","v023 v025",0.045,0.00311344820957265,0.0391558745512913,0.0513847912500135
"Brazil 1996","Brazil","1996",1996,"Brazil","BR1996DHS","BR","BRA",76,"BR",NA,"BRIR31FL","BRBR31FL","BRCR31FL","BRPR31FL","v023 v025",0.013,0.00156498261465439,0.00964830517303698,0.0157920035689948
"Brazil 1991","Brazil","1991",1991,"Brazil","BR1991DHS","BR","BRA",76,"BR",NA,"BRIR21FL","","","BRPR21FL","v023 v025",0.042,0.00491586304969898,0.0327236125797579,0.0520599261843494
"Burkina Faso 2010","Burkina Faso","2010",2010,"Burkina Faso","BF2010DHS","BF","BFA",854,"BF",NA,"BFIR62FL","BFBR62FL","BFCR62FL","BFPR62FL","v022",0.091,0.00394239266040249,0.0834963957678609,0.0989845608615661
"Burkina Faso 2003","Burkina Faso","2003",2003,"Burkina Faso","BF2003DHS","BF","BFA",854,"BF",NA,"BFIR43FL","","BFCR41FL","BFPR44FL","v023 v025",0.14,0.0081328560068751,0.124212025457135,0.156192249628942
"Burkina Faso 1998-99","Burkina Faso","1998-99",1998,"Burkina Faso","BF1999DHS","BF","BFA",854,"BF",NA,"BFIR31FL","","BFCR31FL","BFPR31FL","v023",0.141,0.00845288373055453,0.124667321313701,0.157998791597775
